ID,Question,Type,Options (A–E),Correct Answer(s),Rationale,Category,Difficulty,Last Updated
1,Which insulin peaks in 2–4 hours?,MCQ,A) NPH | B) Regular | C) Lispro | D) Glargine,B,Regular insulin onset 30–60 min; peak 2–4 hr; duration ~5–8 hr.,Pharmacology,Easy,2025-09-14
2,A client on digoxin reports nausea and has an apical HR of 48/min. What is the priority action?,MCQ,A) Administer dose | B) Hold dose and check digoxin level | C) Encourage fluids | D) Give potassium,B,"Bradycardia and GI upset suggest toxicity; hold, check level, notify provider.",Med-Surg,Moderate,2025-09-14
3,Which medication is contraindicated in clients with asthma?,MCQ,A) Metoprolol | B) Propranolol | C) Atenolol | D) Bisoprolol,B,"Nonselective beta-blockers (e.g., propranolol) can trigger bronchospasm.",Pharmacology,Easy,2025-09-14
4,A common adverse effect of ACE inhibitors is:,MCQ,A) Bradycardia | B) Constipation | C) Dry cough | D) Hypoglycemia,C,ACE inhibitors increase bradykinin → persistent dry cough.,Pharmacology,Easy,2025-09-14
5,Which antidote reverses warfarin?,MCQ,A) Protamine sulfate | B) Vitamin K | C) Naloxone | D) Flumazenil,B,Vitamin K antagonizes warfarin; protamine is for heparin.,Pharmacology,Easy,2025-09-14
6,"For a client on lithium, which labs are priority to monitor?",SATA,1) Sodium | 2) Calcium | 3) Potassium | 4) Lithium level | 5) TSH,"1,4",Low sodium increases toxicity risk; monitor therapeutic level (0.6–1.2 mEq/L).,Psych,Moderate,2025-09-14
7,When should the peak level be drawn for IV gentamicin?,MCQ,A) 15 min before infusion | B) 30 min after infusion ends | C) 1 hr before infusion | D) With trough,B,Peak level is drawn 30 minutes after an IV dose completes.,Pharmacology,Moderate,2025-09-14
8,Which medication commonly causes gingival hyperplasia?,MCQ,A) Phenytoin | B) Furosemide | C) Metformin | D) Lithium,A,Phenytoin is associated with gingival hyperplasia and hirsutism.,Pharmacology,Easy,2025-09-14
9,A client taking spironolactone should avoid which food?,MCQ,A) Apples | B) Bananas | C) Rice | D) Pasta,B,Spironolactone is potassium-sparing; avoid high-potassium foods (bananas).,Pharmacology,Easy,2025-09-14
10,Which antidote reverses heparin?,MCQ,A) Vitamin K | B) Protamine sulfate | C) Atropine | D) Deferoxamine,B,Protamine sulfate neutralizes heparin.,Pharmacology,Easy,2025-09-14
11,Fetal heart rate decelerations that mirror contractions are:,MCQ,A) Early | B) Late | C) Variable | D) Accelerations,A,Early decelerations = head compression; usually benign.,OB/Maternity,Easy,2025-09-14
12,Variable decelerations are most often due to:,MCQ,A) Uteroplacental insufficiency | B) Cord compression | C) Maternal hypotension | D) Head compression,B,"Abrupt, variable decelerations imply cord compression.",OB/Maternity,Moderate,2025-09-14
13,Which findings are classic for preeclampsia?,SATA,1) Hypertension | 2) Proteinuria | 3) Hypoglycemia | 4) Epigastric pain | 5) Hyperreflexia,"1,2,4",Preeclampsia: HTN + proteinuria; epigastric/RUQ pain may precede HELLP.,OB/Maternity,Moderate,2025-09-14
14,Signs of magnesium sulfate toxicity include:,MCQ,A) Tachycardia | B) Absent DTRs | C) Polyuria | D) Hypertension,B,"Toxicity: loss of DTRs, respiratory depression, oliguria.",OB/Maternity,Hard,2025-09-14
15,First action for umbilical cord prolapse is to:,MCQ,A) Place in Fowler's | B) Trendelenburg or knee-chest | C) Apply fetal scalp electrode | D) Start oxytocin,B,"Position to relieve pressure on cord; then elevate presenting part, O2, prepare for delivery.",OB/Maternity,Moderate,2025-09-14
16,Best IM injection site for infants (under 1 year):,MCQ,A) Deltoid | B) Vastus lateralis | C) Ventrogluteal | D) Dorsogluteal,B,Vastus lateralis is safest and well developed in infants.,Pediatrics,Easy,2025-09-14
17,Precautions for an infant with RSV include:,MCQ,A) Airborne | B) Contact + Droplet | C) Reverse isolation | D) Standard only,B,RSV spreads via droplets and contact with secretions.,Pediatrics,Easy,2025-09-14
18,Standard treatment for Kawasaki disease in the acute phase:,MCQ,A) Steroids | B) IVIG + high-dose aspirin | C) Antibiotics | D) Antivirals,B,IVIG plus aspirin reduces coronary artery aneurysm risk.,Pediatrics,Moderate,2025-09-14
