ID,Question,Type,Options (A–E),Correct Answer(s),Rationale,Category,Difficulty,Last Updated
1,Which insulin peaks in 2–4 hours?,MCQ,A) NPH | B) Regular | C) Lispro | D) Glargine,B,"Regular insulin onset 30–60 min, peak 2–4 hrs, duration 5–8 hrs.",Pharmacology,Easy,2025-09-14
2,Patient on digoxin has nausea + HR 48. What’s the priority action?,MCQ,A) Give dose | B) Hold and check digoxin level | C) Call provider after dose | D) Increase fluids,B,"Bradycardia + nausea = digoxin toxicity. Hold, check level, notify provider.",Med-Surg,Moderate,2025-09-14
3,Which drug is contraindicated in asthma?,MCQ,A) Metoprolol | B) Propranolol | C) Atenolol | D) Bisoprolol,B,Nonselective beta blockers can cause bronchospasm.,Pharmacology,Easy,2025-09-14
4,Which is a common side effect of ACE inhibitors?,MCQ,A) Hypoglycemia | B) Constipation | C) Dry cough | D) Bradycardia,C,ACE inhibitors cause dry cough due to bradykinin.,Pharmacology,Easy,2025-09-14
5,Which antidote reverses warfarin?,MCQ,A) Protamine sulfate | B) Vitamin K | C) Naloxone | D) Calcium gluconate,B,Vitamin K reverses warfarin; protamine is for heparin.,Pharmacology,Easy,2025-09-14
6,Sample NCLEX Question 6 — Pharmacology,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,Pharmacology,Moderate,2025-09-14
7,Sample NCLEX Question 7 — OB/Maternity,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,OB/Maternity,Moderate,2025-09-14
8,Sample NCLEX Question 8 — Pediatrics,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,Pediatrics,Moderate,2025-09-14
9,Sample NCLEX Question 9 — Psych,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,Psych,Moderate,2025-09-14
10,Sample NCLEX Question 10 — Med-Surg,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,Med-Surg,Moderate,2025-09-14
11,Sample NCLEX Question 11 — Pharmacology,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,Pharmacology,Moderate,2025-09-14
12,Sample NCLEX Question 12 — OB/Maternity,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,OB/Maternity,Moderate,2025-09-14
13,Sample NCLEX Question 13 — Pediatrics,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,Pediatrics,Moderate,2025-09-14
14,Sample NCLEX Question 14 — Psych,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,Psych,Moderate,2025-09-14
15,Sample NCLEX Question 15 — Med-Surg,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,Med-Surg,Moderate,2025-09-14
16,Sample NCLEX Question 16 — Pharmacology,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,Pharmacology,Moderate,2025-09-14
17,Sample NCLEX Question 17 — OB/Maternity,MCQ,A) Option 1 | B) Option 2 | C) Option 3 | D) Option 4,A,Placeholder rationale for testing UI.,OB/Maternity,Moderate,2025-09-14
